Id,V,F,D,G,Ra
1,106.88,0.26,1.0,55.72,43.942696
2,59.85,0.4,0.5,42.96,54.668312
3,106.88,0.2,0.5,64.54,41.87059
4,81.58,0.52,0.5,13.45,61.50483
5,88.79,0.06,1.0,13.12,10.099599
6,81.58,0.2,1.5,13.23,19.050394
7,106.88,0.16,1.5,62.83,41.02168
8,199.49,0.16,1.5,13.54,16.307093
9,81.58,0.26,1.0,51.5,41.848778
10,199.49,0.23,1.0,14.45,20.343685
11,75.44,0.4,1.0,63.88,66.143196
12,119.69,0.06,1.0,59.378,33.1895
13,129.12,0.4,1.5,53.498999999999995,62.68184
14,115.17,0.26,1.0,13.54,22.84099
15,81.58,0.23,1.5,40.11,35.025455
16,75.7,0.26,1.0,13.29,22.741852
17,75.7,0.4,0.5,63.88,65.07414
18,199.49,0.26,1.0,75.52,53.784355
19,129.12,0.32,1.5,61.89,55.57537
20,75.44,0.26,1.0,66.31,49.259636
21,119.69,0.16,1.5,10.78,14.950304
22,119.69,0.4,0.5,51.152,58.68269
23,59.85,0.16,1.0,61.89,38.84055
24,53.44,0.52,0.5,19.958,64.84602
25,84.78,0.29,0.5,19.83,28.166557
26,191.95,0.06,1.5,11.79,11.113621
27,84.78,0.26,0.5,13.29,21.666319
28,53.44,0.2,1.0,24.881999999999998,23.177904
29,191.95,0.23,1.5,53.44,41.61281
30,53.44,0.29,1.0,51.18,44.995453
31,88.79,0.29,1.5,62.68,52.432457
32,81.58,0.16,1.5,17.32,18.278519
33,178.13,0.52,1.5,54.26,84.69084
34,88.79,0.52,0.5,12.09,60.81949
35,129.12,0.29,0.5,28.66,32.554146
36,119.69,0.52,1.5,51.2,83.2
37,178.13,0.52,1.5,9.497,62.29431
38,106.88,0.23,1.0,51.19,38.782894
39,53.44,0.16,1.0,62.83,39.335636
40,106.88,0.4,0.5,63.88,65.05345
41,81.58,0.4,1.0,54.11,61.25546
42,191.95,0.06,1.0,51.18,29.04462
43,119.69,0.06,1.0,13.23,10.133498
44,75.7,0.32,1.0,54.13,49.967476
45,84.78,0.26,1.0,54.13,43.162003
46,84.78,0.29,1.5,63.36,52.775303
47,119.69,0.26,1.5,13.12,24.39214
48,88.79,0.29,1.0,62.19,50.422966
49,191.95,0.4,0.5,10.78,38.454243
50,115.17,0.2,0.5,64.54,41.864365
51,129.12,0.06,0.5,10.94,7.9184046
52,119.69,0.32,0.5,13.453,28.54609
53,106.88,0.23,1.0,53.44,39.908016
54,53.44,0.32,1.5,42.96,46.220116
55,119.69,0.29,1.5,19.958,31.039948
56,191.95,0.23,1.5,12.09,20.932768
57,81.58,0.4,0.5,51.2,58.731968
58,53.44,0.23,1.5,70.09,50.092457
59,84.78,0.52,1.5,13.54,64.38135
60,129.12,0.06,1.0,51.2,29.097322
61,129.12,0.4,1.0,13.23,40.78948
62,119.69,0.26,0.5,62.68,46.345737
63,129.12,0.4,1.0,19.96,44.153564
64,59.85,0.06,0.5,77.2,41.086395
65,59.85,0.16,0.5,40.11,26.873585
66,53.44,0.52,0.5,13.453,61.590336
67,199.49,0.29,1.0,64.54,51.525143
68,129.12,0.16,1.5,13.45,16.310404
69,75.7,0.29,0.5,24.881999999999998,30.699697
70,53.44,0.4,0.5,16.8,41.611267
71,81.58,0.52,0.5,59.58,84.583786
72,115.17,0.4,1.0,66.31,67.33151
73,106.88,0.52,0.5,13.29,61.407494
74,191.95,0.16,1.5,11.79,15.429762
75,75.44,0.52,1.0,19.958,65.834885
76,115.17,0.06,0.5,51.19,28.033142
77,129.12,0.16,1.5,61.89,40.536285
78,75.7,0.06,1.0,51.5,29.283545
79,84.78,0.2,1.5,28.66,26.769646
80,75.7,0.52,1.5,13.23,64.23249
81,88.79,0.2,1.5,13.453,19.156538
82,53.44,0.16,1.0,55.72,35.778606
83,81.58,0.06,1.0,10.78,8.937423
84,81.58,0.26,1.0,52.28,42.238876
85,84.78,0.32,1.5,19.83,34.585217
86,59.85,0.52,0.5,14.52,62.100384
87,115.17,0.23,1.0,13.54,19.948431
88,59.85,0.2,1.0,17.24,19.326406
89,53.44,0.16,1.0,17.32,16.567654
90,75.44,0.52,1.0,14.45,63.079224
91,75.44,0.06,0.5,55.72,30.323898
92,178.13,0.29,0.5,54.26,45.327362
93,53.44,0.4,1.5,70.09,71.09507
94,53.44,0.32,0.5,42.96,43.386787
95,88.79,0.23,1.0,12.09,19.24198
96,191.95,0.52,0.5,13.23,61.319363
97,84.78,0.4,1.5,8.751,40.34207
98,115.17,0.06,1.5,62.19,36.370644
99,88.79,0.26,1.0,75.52,53.85701
100,75.44,0.16,1.5,64.54,41.89832
101,81.58,0.2,1.0,13.12,17.229872
102,115.17,0.52,1.5,42.96,79.08034
103,106.88,0.52,1.5,17.24,66.21741
104,75.44,0.32,0.5,13.12,28.408987
105,53.44,0.52,1.0,63.88,87.89975
106,129.12,0.06,1.5,24.881999999999998,17.719286
107,129.12,0.32,0.5,10.78,27.20431
108,178.13,0.06,1.0,51.19,29.059011
109,59.85,0.26,0.5,13.12,21.619349
110,53.44,0.23,1.5,56.63,43.358597
111,84.78,0.26,1.5,11.79,23.749903
112,75.44,0.16,1.5,51.2,35.226856
113,199.49,0.52,1.5,53.5,84.2959
114,59.85,0.2,1.5,54.26,39.626842
115,75.44,0.26,1.0,17.32,24.757822
116,106.88,0.26,1.5,11.79,23.735298
117,178.13,0.16,1.5,51.5,35.30637
118,81.58,0.16,1.5,61.89,40.56893
119,106.88,0.32,1.5,42.96,46.12794
120,115.17,0.52,1.5,53.44,84.32385
121,129.12,0.16,1.5,52.28,35.73012
122,129.12,0.52,0.5,13.29,61.392303
123,75.44,0.29,0.5,10.94,23.725199
124,199.49,0.26,1.0,13.29,22.66059
125,129.12,0.4,0.5,62.83,64.51384
126,75.7,0.2,0.5,51.2,35.2191
127,178.13,0.4,0.5,54.26,60.197495
128,88.79,0.2,1.5,9.497,17.176828
129,59.85,0.32,1.5,40.11,44.770737
130,119.69,0.06,1.5,51.152,30.854355
131,199.49,0.16,0.5,51.18,32.297016
132,84.78,0.16,1.0,17.24,16.471708
133,191.95,0.16,1.5,57.4,38.2476
134,57.95,0.16,1.5,63.36,41.350864
135,75.7,0.29,1.0,63.88,51.277016
136,191.95,0.29,1.0,13.12,25.808407
137,199.49,0.26,1.5,13.54,24.549494
138,57.95,0.32,0.5,70.09,56.93167
139,57.95,0.52,1.0,14.51,63.17363
140,75.7,0.29,1.5,62.68,52.44119
141,129.12,0.23,1.5,63.36,46.618507
142,191.95,0.23,0.5,53.498999999999995,38.80769
143,88.79,0.52,0.5,51.19,80.381325
144,88.79,0.2,0.5,14.34,16.76454
145,59.85,0.4,1.5,62.83,67.43989
146,129.12,0.4,1.5,44.4,58.133274
147,106.88,0.23,1.5,54.26,42.0836
148,81.58,0.26,1.5,51.19,43.4591
149,129.12,0.32,1.0,53.498999999999995,49.61686
150,57.95,0.2,1.5,13.453,19.205236
151,75.7,0.26,0.5,12.6,21.327143
152,178.13,0.06,1.0,19.958,13.449423
153,57.95,0.23,1.5,8.751,19.385761
154,81.58,0.4,1.0,53.48,60.940536
155,106.88,0.16,1.0,14.52,15.089573
156,57.95,0.29,0.5,16.23,26.41622
157,57.95,0.2,1.0,53.5,37.48591
158,84.78,0.32,1.0,14.52,30.17071
159,106.88,0.06,1.5,16.23,13.38689
160,53.44,0.32,1.5,17.24,33.363453
161,75.7,0.16,1.5,59.378,39.316666
162,53.44,0.2,1.5,39.78,32.403694
163,199.49,0.52,1.5,61.89,88.49371
164,178.13,0.16,0.5,9.497,11.450089
165,81.58,0.29,0.5,50.41,43.465477
166,57.95,0.4,0.5,62.19,64.291695
167,59.85,0.26,1.0,59.378,45.835087
168,115.17,0.29,1.5,17.32,29.723286
169,178.13,0.29,0.5,13.12,24.747765
170,75.7,0.16,1.5,10.94,15.065159
171,75.44,0.4,0.5,16.8,41.540726
172,75.44,0.23,1.0,12.6,19.506521
173,199.49,0.23,0.5,41.28,32.692204
174,199.49,0.32,0.5,9.497,26.516708
175,119.69,0.06,1.5,41.28,25.920748
176,84.78,0.2,0.5,56.95,38.089573
177,88.79,0.29,1.5,54.26,48.220306
178,178.13,0.32,1.5,13.23,31.225183
179,178.13,0.26,1.0,55.72,43.89593
180,57.95,0.29,1.5,28.66,35.472496
181,129.12,0.23,0.5,75.52,49.863914
182,88.79,0.06,1.0,10.94,9.012331
183,106.88,0.26,1.0,54.26,43.21251
184,119.69,0.06,1.0,39.78,23.396883
185,59.85,0.26,0.5,13.44,21.779474
186,84.78,0.2,1.5,28.66,26.769646
187,191.95,0.2,0.5,54.11,36.587875
188,88.79,0.23,1.5,51.19,40.561256
189,75.7,0.29,1.5,42.96,42.576157
190,115.17,0.23,1.5,63.88,46.888508
191,84.78,0.4,1.5,17.24,44.5857
192,75.44,0.23,1.5,62.19,46.07173
193,199.49,0.26,0.5,9.497,19.693764
194,129.12,0.32,0.5,52.28,47.939396
195,106.88,0.4,1.0,75.52,71.94076
196,75.44,0.06,1.0,39.78,23.426958
197,84.78,0.06,1.5,51.22,30.912226
198,88.79,0.4,1.5,39.78,55.85069
199,84.78,0.23,1.5,13.44,21.68454
200,57.95,0.52,1.0,8.751,60.29131
201,191.95,0.2,1.0,12.6,16.886698
202,75.7,0.4,1.0,62.68,65.54319
203,178.13,0.06,1.5,13.44,11.946266
204,129.12,0.52,0.5,59.58,84.551315
205,57.95,0.06,1.0,53.498999999999995,30.323463
206,119.69,0.06,1.5,54.26,32.407288
