Id,V,F,D,G,Ra
1,191.95,0.52,1.5,66.31,90.68718597
2,129.12,0.16,1,41.28,28.45332916
3,53.44,0.2,1.5,17.24,21.12881482
4,75.44,0.4,1,14.51,41.4658375
5,106.88,0.4,1.5,39.78,55.82525194
6,115.17,0.16,1,19.958,17.80171
7,84.78,0.2,1.5,19.958,22.41864142
8,84.78,0.32,1,18.4,32.10663418
9,81.58,0.32,1,14.45,30.13626089
10,59.85,0.16,1.5,75.52,47.42637345
11,119.69,0.06,1,12.6,9.807430997
12,199.49,0.29,1,15.6,27.05200965
13,59.85,0.23,1.5,77.2,53.61717345
14,75.44,0.4,0.5,13.44,39.86127694
15,75.7,0.29,1,28.66,33.66398222
16,178.13,0.16,1,11.79,13.6870206
17,59.85,0.4,1,54.26,61.37536621
18,115.17,0.16,0.5,11.79,12.64814944
19,57.95,0.06,1,56.63,31.91144438
20,53.44,0.52,0.5,50.41,80.03924702
21,191.95,0.06,1.5,28.66,19.56938597
22,59.85,0.29,1,19.83,29.28396621
23,84.78,0.16,1.5,28.3,23.76724142
24,106.88,0.2,0.5,15.6,17.38228414
25,88.79,0.52,1.5,19.83,67.50771437
26,81.58,0.29,0.5,40.11,38.30990033
27,84.78,0.23,1.5,17.32,23.62804142
28,119.69,0.23,1,54.26,40.300231
29,106.88,0.2,1,64.54,42.9218447
30,88.79,0.4,1.5,51.19,61.54931437
31,129.12,0.23,1,63.88,45.10412916
32,106.88,0.29,0.5,12.09,24.27088414
33,84.78,0.23,1.5,19.96,24.94804142
34,119.69,0.16,0.5,57.4,35.44987044
35,119.69,0.32,1,13.54,29.642231
36,178.13,0.32,0.5,62.19,52.87026005
37,106.88,0.2,1.5,19.958,22.39425194
38,106.88,0.23,1.5,50.41,40.14865194
39,115.17,0.26,1,77.2,54.65471
40,53.44,0.29,1,53.5,46.13900758
41,81.58,0.23,1.5,15.6,22.77266813
42,53.44,0.4,0.5,19.96,43.17584702
43,53.44,0.2,1.5,19.83,22.42381482
44,57.95,0.29,1.5,53.48,47.87785162
45,75.7,0.52,1.5,70.09,92.65718947
46,178.13,0.06,1.5,51.2,30.84342785
47,106.88,0.32,1.5,62.83,56.06065194
48,53.44,0.29,0.5,28.66,32.64944702
49,199.49,0.32,1.5,13.23,31.2172169
50,75.44,0.06,1.5,56.95,33.79484474
51,191.95,0.06,1.5,8.751,9.614885971
52,75.7,0.4,1,13.12,40.77038222
53,75.7,0.4,0.5,39.78,53.03082167
54,178.13,0.2,1,12.09,16.6594206
55,59.85,0.16,0.5,56.63,35.14840565
56,75.44,0.16,0.5,14.45,14.02387694
57,53.44,0.23,1.5,41.28,35.67721482
58,106.88,0.16,0.5,55.999,34.75938414
59,106.88,0.32,1,19.958,32.8612447
60,115.17,0.29,0.5,12.6,24.51914944
61,129.12,0.16,0.5,56.95,35.21876861
62,75.44,0.32,0.5,10.78,27.24167694
63,81.58,0.26,1,17.24,24.71046089
64,53.44,0.4,1,24.882,46.70640758
65,119.69,0.29,0.5,62.83,49.63087044
66,57.95,0.23,1,13.29,19.90424438
67,88.79,0.06,1.5,53.499,32.04941437
68,115.17,0.4,1,28.66,48.49511
69,57.95,0.4,0.5,51.19,58.77628382
70,57.95,0.52,1,53.48,82.62924438
71,75.44,0.4,1,51.22,59.8208375
72,191.95,0.29,0.5,59.378,47.87341817
73,53.44,0.52,1.5,51.152,83.24321482
74,57.95,0.32,1.5,19.83,34.63965162
75,81.58,0.23,0.5,53.44,38.85970033
76,129.12,0.2,0.5,28.3,23.71616861
77,129.12,0.26,0.5,11.86,20.90576861
78,75.7,0.16,0.5,24.882,19.23942167
79,191.95,0.23,1,75.52,50.89877873
80,53.44,0.29,1,53.499,46.13850758
81,53.44,0.29,1,53.44,46.10900758
82,115.17,0.2,0.5,19.83,19.49054944
83,115.17,0.16,1,14.51,15.07771
84,84.78,0.52,1,17.99,64.82963418
85,88.79,0.29,1,53.48,46.05450712
86,129.12,0.52,0.5,14.52,61.98456861
87,115.17,0.29,1.5,19.958,31.03111724
88,178.13,0.29,1.5,38.102,40.07242785
89,119.69,0.32,1,28.3,37.022231
90,57.95,0.06,1,59.58,33.38644438
91,88.79,0.2,0.5,18.4,18.80134657
92,84.78,0.26,1,19.96,26.06583418
93,57.95,0.16,1,13.453,14.63494438
94,191.95,0.26,1,13.23,22.63497873
95,84.78,0.26,1.5,24.882,30.29024142
96,178.13,0.52,1.5,40.11,77.59122785
97,57.95,0.2,0.5,11.86,15.59128382
98,199.49,0.29,0.5,28.66,32.5124491
99,84.78,0.4,0.5,8.751,37.50217362
100,75.7,0.2,0.5,41.28,30.26082167
101,84.78,0.23,0.5,19.958,22.11407362
102,106.88,0.32,1,62.83,54.2972447
103,81.58,0.26,1.5,53.44,44.57386813
104,191.95,0.26,1.5,13.44,24.50338597
105,119.69,0.06,0.5,10.78,7.827870439
